time_mean,time_std,time_variance,time_rms,time_energy,time_peak,time_peak_to_peak,time_skewness,time_kurtosis,time_crest_factor,time_clearance_factor,time_impulse_factor,time_shape_factor,time_margin_factor,time_zero_crossings,time_hjorth_activity,time_hjorth_mobility,time_hjorth_complexity,freq_spectral_mean,freq_spectral_var,freq_spectral_std,freq_spectral_skewness,freq_spectral_kurtosis,freq_spectral_entropy,freq_spectral_flatness,freq_bandwidth,freq_peak_frequency,freq_roll_off_95,freq_envelope_peak_frequency,tf_stft_energy,tf_stft_entropy,tf_cwt_dominant_frequency,tf_cwt_scale_entropy,tf_emd_imf_count,tf_emd_energy_ratio,tf_emd_hilbert_energy,segment_index,rpm,sensor,fault_type,load,fault_size
6.7220534694101275e-18,1.0000000000000002,1.0000000000000004,1.0000000000000002,2048.000000000001,3.7219096303191614,6.990658979814949,0.011866016572538546,2.8992826743457853,3.721909630315438,5.426565631382378,4.623621105702601,1.2422711900466312,5.426565631382378,1047.0,1.0000000000000004,1.4217220046750056,1.0511657560037526,2962.350085906979,624082.0852578145,789.9886614742103,-2.193717589429325,7.097124436461074,4.431440829972763,0.03701019608625028,789.9886614742103,3363.28125,3480.46875,41.015625,2.9433823475720082,7.044035877086422,3250.0,4.446937585802735,0.0,0.0,0.0,0.0,1796.0,DE,ball,0hp,
1.431146867680866e-17,1.0,1.0,1.0,2048.0,3.641376211889074,7.1668401260977355,-0.008733351143818086,3.0728412864663084,3.6413762118854325,5.300651298829298,4.537994196479216,1.2462305272557912,5.300651298829298,1028.0,1.0,1.4176307073362997,1.0518302113576572,2935.566446126875,596719.0427843094,772.4759172843574,-2.158529868950923,7.1192002622413,4.501172117418669,0.03539907887919406,772.4759172843574,3363.28125,3527.34375,46.875,2.981224473701725,7.02926219487356,3250.0,4.467753989359637,0.0,0.0,0.0,1.0,1796.0,DE,ball,0hp,
-4.553649124439119e-18,1.0,1.0000000000000002,1.0,2048.0000000000005,3.6694112162498596,7.22294339288909,-0.0031046888916807618,3.0756031174141305,3.6694112162461896,5.435047935273267,4.607147345292642,1.2555549306902565,5.435047935273267,1032.0,1.0000000000000002,1.4189183170495865,1.0508286670721874,2932.9590013058387,628477.4081928037,792.7656704176864,-2.1227501328977687,6.781082530841566,4.5154251599355355,0.03598038429979337,792.7656704176864,3234.375,3515.625,41.015625,2.97701124941322,7.027395893612075,3250.0,4.479816727335729,0.0,0.0,0.0,2.0,1796.0,DE,ball,0hp,
5.421010862427522e-18,1.0,1.0,1.0,2048.0,3.276895406818594,6.266484742707991,-0.009978575583020578,2.7445672793796554,3.2768954068153167,4.8078892709614145,4.076860723933689,1.244122932776713,4.8078892709614145,1034.0,1.0,1.415690004462903,1.058348571629312,2918.3483076089447,698881.1014956712,835.9910893637989,-2.021041587006976,6.18294470148564,4.56085009336956,0.04130014172262462,835.9910893637989,3269.53125,3468.75,11.71875,2.937949622591087,7.065217240384719,3250.0,4.49517972058139,0.0,0.0,0.0,3.0,1796.0,DE,ball,0hp,
1.441988889405721e-17,1.0,1.0000000000000002,1.0,2048.0000000000005,3.3719288823653506,6.385385290947789,-0.023219683851150034,2.6008356883737056,3.371928882361978,4.8119516192229455,4.128811595641361,1.224465799748739,4.8119516192229455,1037.0,1.0000000000000002,1.42359680542496,1.054965742316577,2968.093853402618,664469.9619695947,815.1502695635908,-2.1697373864536265,6.877511926830583,4.483307222384463,0.03960474468243866,815.1502695635908,3363.28125,3527.34375,70.3125,2.9082370381389566,7.0956838687695925,3250.0,4.4547142583109,0.0,0.0,0.0,4.0,1796.0,DE,ball,0hp,
1.734723475976807e-17,1.0,1.0,1.0,2048.0,3.873803810364975,6.871560510974977,-0.05525936275631958,2.935563024838612,3.8738038103611006,5.682577986918343,4.824862636420403,1.2455103233443883,5.682577986918343,1033.0,1.0,1.4224169024182134,1.051130182101307,2966.8649048149096,621679.756271584,788.4667122152869,-2.231412057507807,7.269555624648368,4.485156872904929,0.035142491992231344,788.4667122152869,3363.28125,3492.1875,46.875,2.8727335816315316,7.0581799018144515,3250.0,4.478976122655069,0.0,0.0,0.0,5.0,1796.0,DE,ball,0hp,
1.2793585635328952e-17,1.0,1.0,1.0,2048.0,3.844315076929635,7.017582610905813,-0.06693815073426934,3.0942995118112258,3.8443150769257906,5.805729589450186,4.869499982655427,1.266675567743678,5.805729589450186,1024.0,1.0,1.4216949364107896,1.0520494219994487,2957.375518380078,629757.4334013332,793.5725760138976,-2.22736767237279,7.14497509819932,4.476033438330554,0.03396001136952316,793.5725760138976,3234.375,3468.75,29.296875,2.947955012707721,7.062149525977764,3250.0,4.479234058451062,0.0,0.0,0.0,6.0,1796.0,DE,ball,0hp,
-6.071532165918825e-18,1.0,1.0000000000000002,1.0,2048.0000000000005,3.40548172269921,6.613399342226121,-0.03925630314519987,2.906784530973518,3.405481722695804,5.038353262101394,4.263898465777598,1.2520691088595832,5.038353262101394,1030.0,1.0000000000000002,1.4259571512627094,1.04949989976676,2942.321747950928,635500.9148426544,797.183112492139,-2.196409456482433,6.958486009445336,4.521466474401093,0.036393732799830734,797.183112492139,3269.53125,3468.75,105.46875,3.0225328621355017,7.045723311095313,3250.0,4.448103202400659,0.0,0.0,0.0,7.0,1796.0,DE,ball,0hp,
5.421010862427522e-18,0.9999999999999998,0.9999999999999997,0.9999999999999998,2047.9999999999993,3.3602761472704272,6.528136114439336,-0.04757919829375833,2.862214879333158,3.3602761472670672,4.962650433913173,4.200012809906276,1.2499010872418836,4.962650433913173,1041.0,0.9999999999999997,1.426997241829284,1.0480309435425408,3018.5438719440353,530129.4513741133,728.0998910686042,-2.4900635807174534,8.770939203292585,4.3896991833036605,0.031327857504783736,728.0998910686042,3257.8125,3515.625,23.4375,3.032999185810299,7.014261999363544,3250.0,4.436514444909095,0.0,0.0,0.0,8.0,1796.0,DE,ball,0hp,
2.927345865710862e-18,1.0,1.0,1.0,2048.0,3.6907752482195617,7.259746509531311,-0.036219045685455226,2.9742813219460515,3.6907752482158704,5.516680770331121,4.645158394751045,1.2585860916326128,5.516680770331121,1050.0,1.0,1.433520972654995,1.044722782732427,3015.2902576204224,555266.2511641188,745.1618959421629,-2.417839074904668,8.357823100917125,4.368772816520301,0.03411631367259514,745.1618959421629,3433.59375,3468.75,46.875,3.052597554489288,7.018937501573912,3250.0,4.429479360202715,0.0,0.0,0.0,9.0,1796.0,DE,ball,0hp,
